rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
12,"Altes Eishaus, Hotel & Restaurant",35390,,4.6,671,21–50,21,50,35.5,5.02,4.419,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/Altes+Eishaus,+Hotel+%26+Restaurant/data=!4m10!3m9!1s0x47bc58d1e2f8e02d:0x474df17aa11f5c78!5m2!4m1!1i2!8m2!3d50.6001758!4d8.6721765!16s%2Fg%2F1v16pdrz!19sChIJLeD44tFYvEcReFwfoXrxTUc?authuser=0&hl=de&rclk=1"
13,Statementbeef,35390,,4.6,623,21–50,21,50,35.5,5.39,4.406,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Statementbeef/data=!4m7!3m6!1s0x47bc599d9d4b09f5:0x57a4f731f14f7e7b!8m2!3d50.5784258!4d8.6654063!16s%2Fg%2F11scvtnkrs!19sChIJ9QlLnZ1ZvEcRe35P8TH3pFc?authuser=0&hl=de&rclk=1
14,#imStress,35390,,4.7,270,21–50,21,50,35.5,11.62,4.27,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/%23imStress/data=!4m7!3m6!1s0x47bc5893121cd98b:0xb7ef389db1904325!8m2!3d50.5777751!4d8.6818784!16s%2Fg%2F11c4bcjgff!19sChIJi9kcEpNYvEcRJUOQsZ0477c?authuser=0&hl=de&rclk=1
15,Barcelona Tapas Bar Giessen,35390,,4.6,235,21–50,21,50,35.5,13.12,4.128,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Barcelona+Tapas+Bar+Giessen/data=!4m7!3m6!1s0x47bc58fb2627d405:0x893fc4f0d0fc6f2a!8m2!3d50.5749232!4d8.661148!16s%2Fg%2F11bwflkgcn!19sChIJBdQnJvtYvEcRKm_80PDEP4k?authuser=0&hl=de&rclk=1
16,SaraCafe,35390,,4.3,196,21–50,21,50,35.5,15.33,3.794,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/SaraCafe/data=!4m7!3m6!1s0x47bc597e960c5f29:0x2ce33227802bd22!8m2!3d50.59323!4d8.67996!16s%2Fg%2F11j0qhtx6s!19sChIJKV8Mln5ZvEcRIr0CeCIzzgI?authuser=0&hl=de&rclk=1
17,Sawan Spa,35390,,4.4,140,21–50,21,50,35.5,20.23,3.712,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Sawan+Spa/data=!4m7!3m6!1s0x47bc58c1db7b6c01:0xf3a3987d06677b71!8m2!3d50.5855087!4d8.6771441!16s%2Fg%2F1tfrwlzr!19sChIJAWx728FYvEcRcXtnBn2Yo_M?authuser=0&hl=de&rclk=1
18,Schwälmer Brotladen,35390,,4.4,87,21–50,21,50,35.5,28.98,3.415,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Schw%C3%A4lmer+Brotladen/data=!4m7!3m6!1s0x47bc597da7eb7937:0xc6f60c38f3a00670!8m2!3d50.5795781!4d8.6626137!16s%2Fg%2F11fgjlwg0n!19sChIJN3nrp31ZvEcRcAag8zgM9sY?authuser=0&hl=de&rclk=1
19,La Louve Gießen,35390,,4.3,36,21–50,21,50,35.5,49.65,2.662,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/La+Louve+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc5f8b990ef6cd:0x94a4d0d5c096fbfb!8m2!3d50.61399!4d8.7043704!16s%2Fg%2F11y8wb7bfj!19sChIJzfYOmYtfvEcR-_uWwNXQpJQ?authuser=0&hl=de&rclk=1
20,StadtBäckerei Gießen - Am Marktplatz,35390,,4.6,33,21–50,21,50,35.5,51.82,2.734,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/StadtB%C3%A4ckerei+Gie%C3%9Fen+-+Am+Marktplatz/data=!4m7!3m6!1s0x47bc5923b885e803:0xe3a1fe53de99633f!8m2!3d50.5859301!4d8.6742093!16s%2Fg%2F11tp6_09pd!19sChIJA-iFuCNZvEcRP2OZ3lP-oeM?authuser=0&hl=de&rclk=1
21,Basilico Ristorante & Bar - Gießen,35390,,4.4,1985,11–20,11,20,15.5,0.77,4.374,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Basilico+Ristorante+%26+Bar+-+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc58c1d6e10957:0x46fb8d1784c5af88!8m2!3d50.5851258!4d8.6774136!16s%2Fg%2F11fzwd6013!19sChIJVwnh1sFYvEcRiK_FhBeN-0Y?authuser=0&hl=de&rclk=1
22,Mega Tandur,35390,,4.8,675,11–20,11,20,15.5,2.24,4.715,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Mega+Tandur/data=!4m7!3m6!1s0x47bc58c3e3dd5751:0x68f6fe35a5c828f5!8m2!3d50.5891687!4d8.6756905!16s%2Fg%2F1hjgxxfrc!19sChIJUVfd48NYvEcR9SjIpTX-9mg?authuser=0&hl=de&rclk=1
23,AKZENT Hotel Köhler S,35390,,4.2,290,11–20,11,20,15.5,5.07,4.038,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/AKZENT+Hotel+K%C3%B6hler+S/data=!4m7!3m6!1s0x47bc58e860b65d77:0x1a5080aa614bc3e5!8m2!3d50.5832882!4d8.6689378!16s%2Fg%2F1wnf04yv!19sChIJd122YOhYvEcR5cNLYaqAUBo?authuser=0&hl=de&rclk=1
24,Hairplace Giessen,35390,,4.6,279,11–20,11,20,15.5,5.26,4.411,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hairplace+Giessen/data=!4m7!3m6!1s0x47bc5941cba0d999:0x46dee22ad6e2e910!8m2!3d50.5850074!4d8.67506!16s%2Fg%2F11mh_sxp6t!19sChIJmdmgy0FZvEcREOni1iri3kY?authuser=0&hl=de&rclk=1
25,Joe's Burger Gießen,35390,,4.6,187,11–20,11,20,15.5,7.65,4.324,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Joe%27s+Burger+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc59cfcd8b7db9:0x452651381dca3e36!8m2!3d50.5934334!4d8.6801822!16s%2Fg%2F11s_4q0_7y!19sChIJuX2Lzc9ZvEcRNj7KHThRJkU?authuser=0&hl=de&rclk=1
26,Rooster Fried Chicken,35390,,4.6,111,11–20,11,20,15.5,12.25,4.159,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Rooster+Fried+Chicken/data=!4m7!3m6!1s0x47bc598dd6a99f49:0x7350f961a078d084!8m2!3d50.5865302!4d8.6709392!16s%2Fg%2F11yj9pz1jr!19sChIJSZ-p1o1ZvEcRhNB4oGH5UHM?authuser=0&hl=de&rclk=1
27,EFC - Extreme Fight Club,35390,,5,107,11–20,11,20,15.5,12.65,4.494,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/EFC+-+Extreme+Fight+Club/data=!4m7!3m6!1s0x47bcf60c28589ce1:0x3cc17827e53a19cd!8m2!3d50.583473!4d8.6806135!16s%2Fg%2F11c58ffq4p!19sChIJ4ZxYKAz2vEcRzRk65Sd4wTw?authuser=0&hl=de&rclk=1
