id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x47bc597781c19ac3:0xe088ca489bdb81f8,Icke wa!,35390,,,,,50.5836047,8.6722325,,,false,,,,,,,https://www.google.com/maps/place/Icke+wa!/data=!4m7!3m6!1s0x47bc597781c19ac3:0xe088ca489bdb81f8!8m2!3d50.5836047!4d8.6722325!16s%2Fg%2F11sg37s6xm!19sChIJw5rBgXdZvEcR-IHbm0jKiOA?authuser=0&hl=de&rclk=1,2026-05-05T18:52:47Z,,error,context canceled; overview error: context canceled
0x47bc58eb27606805:0x9f2bf8ca601b47d4,India Restaurant,35390,,,,,50.5821594,8.679365,,,false,,,,,,,https://www.google.com/maps/place/India+Restaurant/data=!4m7!3m6!1s0x47bc58eb27606805:0x9f2bf8ca601b47d4!8m2!3d50.5821594!4d8.679365!16s%2Fg%2F1td1n_8h!19sChIJBWhgJ-tYvEcR1EcbYMr4K58?authuser=0&hl=de&rclk=1,2026-05-05T18:53:15Z,,error,context canceled; overview error: context canceled
0x47bc596bffe8ba57:0x4578dad910fa2368,Iss Was - Fusionsküche,35390,,,,,50.5832779,8.6814657,,,false,,,,,,,https://www.google.com/maps/place/Iss+Was+-+Fusionsk%C3%BCche/data=!4m7!3m6!1s0x47bc596bffe8ba57:0x4578dad910fa2368!8m2!3d50.5832779!4d8.6814657!16s%2Fg%2F11fn2hq5tz!19sChIJV7ro_2tZvEcRaCP6ENnaeEU?authuser=0&hl=de&rclk=1,2026-05-05T18:49:04Z,,error,context canceled; overview error: context canceled
0x47bc59ad39704e67:0x93df550acb580252,"Jaima City | Shisha, Lounge & Bar",35390,,,,,50.5852069,8.6735448,,,false,,,,,,,"https://www.google.com/maps/place/Jaima+City+%7C+Shisha,+Lounge+%26+Bar/data=!4m7!3m6!1s0x47bc59ad39704e67:0x93df550acb580252!8m2!3d50.5852069!4d8.6735448!16s%2Fg%2F11f7161683!19sChIJZ05wOa1ZvEcRUgJYywpV35M?authuser=0&hl=de&rclk=1",2026-05-05T18:48:47Z,,error,context canceled; overview error: context canceled
0x47bc592671bc742b:0xa9843ca182bfa8a5,Jever Deel Bar,35390,,,,,50.5811882,8.683195,,,false,,,,,,,https://www.google.com/maps/place/Jever+Deel+Bar/data=!4m7!3m6!1s0x47bc592671bc742b:0xa9843ca182bfa8a5!8m2!3d50.5811882!4d8.683195!16s%2Fg%2F11vcfp0pgb!19sChIJK3S8cSZZvEcRpai_gqE8hKk?authuser=0&hl=de&rclk=1,2026-05-05T18:52:01Z,,error,context canceled; overview error: context canceled
0x47bc58eb20b73fd1:0x4683480178ea0091,Jhring's Wirtshaus,35390,,,,,50.5821075,8.6790303,,,false,,,,,,,https://www.google.com/maps/place/Jhring%27s+Wirtshaus/data=!4m7!3m6!1s0x47bc58eb20b73fd1:0x4683480178ea0091!8m2!3d50.5821075!4d8.6790303!16s%2Fg%2F1td75pkj!19sChIJ0T-3IOtYvEcRkQDqeAFIg0Y?authuser=0&hl=de&rclk=1,2026-05-05T18:49:08Z,,error,context canceled; overview error: context canceled
0x47bc59cfcd8b7db9:0x452651381dca3e36,Joe's Burger Gießen,35390,,,,,50.5934334,8.6801822,,,false,,,,,,,https://www.google.com/maps/place/Joe%27s+Burger+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc59cfcd8b7db9:0x452651381dca3e36!8m2!3d50.5934334!4d8.6801822!16s%2Fg%2F11s_4q0_7y!19sChIJuX2Lzc9ZvEcRNj7KHThRJkU?authuser=0&hl=de&rclk=1,2026-05-05T18:53:52Z,,error,context canceled; overview error: context canceled
0x47bc58e624146585:0x9c07677910fc1ca1,Jumeirah-Shisha Lounge Bar Cafe,35390,,,,,50.5822942,8.6665342,,,false,,,,,,,https://www.google.com/maps/place/Jumeirah-Shisha+Lounge+Bar+Cafe/data=!4m7!3m6!1s0x47bc58e624146585:0x9c07677910fc1ca1!8m2!3d50.5822942!4d8.6665342!16s%2Fg%2F12mm84lj3!19sChIJhWUUJOZYvEcRoRz8EHlnB5w?authuser=0&hl=de&rclk=1,2026-05-05T18:50:11Z,,error,context canceled; overview error: context canceled
0x47bc58e8daa95bd5:0x5e94d5e517c6bb1b,Justus im Hessischen Hof,35390,,4.5,1277,Restaurant,50.5810028,8.6692389,,,false,,,,,,,https://www.google.com/maps/place/Justus+im+Hessischen+Hof/data=!4m7!3m6!1s0x47bc58e8daa95bd5:0x5e94d5e517c6bb1b!8m2!3d50.5810028!4d8.6692389!16s%2Fg%2F1tcxyyjl!19sChIJ1Vup2uhYvEcRG7vGF-XVlF4?authuser=0&hl=de&rclk=1,2026-05-05T18:45:48Z,active,success,
0x47bc58c27548151d:0x1b5fe2b74fcf7d20,KOIA,35390,,,,,50.5853026,8.6729959,,,false,,,,,,,https://www.google.com/maps/place/KOIA/data=!4m7!3m6!1s0x47bc58c27548151d:0x1b5fe2b74fcf7d20!8m2!3d50.5853026!4d8.6729959!16s%2Fg%2F11c5h2gm2d!19sChIJHRVIdcJYvEcRIH3PT7fiXxs?authuser=0&hl=de&rclk=1,2026-05-05T18:48:42Z,,error,context canceled; overview error: context canceled
