id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x47bc59c3c545ba09:0x5bdf9bc78cf2e08b,Schäfer Dein Bäcker GmbH,35390,,,,,50.5809683,8.7061999,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%A4fer+Dein+B%C3%A4cker+GmbH/data=!4m7!3m6!1s0x47bc59c3c545ba09:0x5bdf9bc78cf2e08b!8m2!3d50.5809683!4d8.7061999!16s%2Fg%2F11w_htm6km!19sChIJCbpFxcNZvEcRi-DyjMeb31s?authuser=0&hl=de&rclk=1,2026-05-05T19:02:00Z,,error,context canceled; overview error: context canceled
0x47bc59a5cf3576a1:0x31566d5b211c6315,Schäfer Dein Bäcker GmbH,35390,,,,,50.5757,8.66219,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%A4fer+Dein+B%C3%A4cker+GmbH/data=!4m7!3m6!1s0x47bc59a5cf3576a1:0x31566d5b211c6315!8m2!3d50.5757!4d8.66219!16s%2Fg%2F11x1yj__5p!19sChIJoXY1z6VZvEcRFWMcIVttVjE?authuser=0&hl=de&rclk=1,2026-05-05T19:02:16Z,,error,context canceled; overview error: context canceled
0x47bc59920053803b:0xd36ab371859c7fff,Schäfer Dein Bäcker GmbH,35390,,,,,50.555209,8.6464344,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%A4fer+Dein+B%C3%A4cker+GmbH/data=!4m7!3m6!1s0x47bc59920053803b:0xd36ab371859c7fff!8m2!3d50.555209!4d8.6464344!16s%2Fg%2F11l2043z_q!19sChIJO4BTAJJZvEcR_3-chXGzatM?authuser=0&hl=de&rclk=1,2026-05-05T19:03:34Z,,error,context canceled; overview error: context canceled
0x47bc5902a49b1a87:0x6aae77453297968f,Schäfer Dein Bäcker GmbH,35390,,,,,50.586439,8.6741361,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%A4fer+Dein+B%C3%A4cker+GmbH/data=!4m7!3m6!1s0x47bc5902a49b1a87:0x6aae77453297968f!8m2!3d50.586439!4d8.6741361!16s%2Fg%2F11x0f37rfy!19sChIJhxqbpAJZvEcRj5aXMkV3rmo?authuser=0&hl=de&rclk=1,2026-05-05T19:00:25Z,,error,context canceled; overview error: context canceled
0x47bc594e353760bd:0x7b6ace5e7b7b2ac9,Schäfers Backstuben GmbH,35390,,,,,50.5864524,8.6551847,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%A4fers+Backstuben+GmbH/data=!4m7!3m6!1s0x47bc594e353760bd:0x7b6ace5e7b7b2ac9!8m2!3d50.5864524!4d8.6551847!16s%2Fg%2F11r9vwbh3z!19sChIJvWA3NU5ZvEcRySp7e17Oans?authuser=0&hl=de&rclk=1,2026-05-05T19:02:09Z,,error,context canceled; overview error: context canceled
0x47bc59b171ba572d:0x1ebd26674deaf35,Schäfers Backstuben GmbH,35390,,,,,50.5870919,8.7043761,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%A4fers+Backstuben+GmbH/data=!4m7!3m6!1s0x47bc59b171ba572d:0x1ebd26674deaf35!8m2!3d50.5870919!4d8.7043761!16s%2Fg%2F11h6nnc950!19sChIJLVe6cbFZvEcRNa_edGbS6wE?authuser=0&hl=de&rclk=1,2026-05-05T19:01:12Z,,error,context canceled; overview error: context canceled
0x47bc588fa24ea59b:0x7631b9334500b4eb,Schäfers Backstuben GmbH,35390,,,,,50.5717317,8.6892949,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%A4fers+Backstuben+GmbH/data=!4m7!3m6!1s0x47bc588fa24ea59b:0x7631b9334500b4eb!8m2!3d50.5717317!4d8.6892949!16s%2Fg%2F11clzhk2yl!19sChIJm6VOoo9YvEcR67QARTO5MXY?authuser=0&hl=de&rclk=1,2026-05-05T19:02:23Z,,error,context canceled; overview error: context canceled
0x47bc58c2619cdef9:0x98df2ca93007ba5b,Schäfers Backstuben GmbH,35390,,,,,50.5863063,8.6719596,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%A4fers+Backstuben+GmbH/data=!4m7!3m6!1s0x47bc58c2619cdef9:0x98df2ca93007ba5b!8m2!3d50.5863063!4d8.6719596!16s%2Fg%2F11cs5g2l0t!19sChIJ-d6cYcJYvEcRW7oHMKks35g?authuser=0&hl=de&rclk=1,2026-05-05T18:50:39Z,,error,context canceled; overview error: context canceled
0x47bc5f6656262191:0x27bddf6c0867d4,Schützenverein Gießen,35390,,,,,50.6271855,8.7112776,,,false,,,,,,,https://www.google.com/maps/place/Sch%C3%BCtzenverein+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc5f6656262191:0x27bddf6c0867d4!8m2!3d50.6271855!4d8.7112776!16s%2Fg%2F1tcyk4j2!19sChIJkSEmVmZfvEcR1GcIbN-9JwA?authuser=0&hl=de&rclk=1,2026-05-05T19:14:39Z,,error,context canceled; overview error: context canceled
0x47bc59b8af843c0d:0x96daf602d6549037,Selterstor Garten Gießen,35390,,,,,50.5824166,8.6700589,,,false,,,,,,,https://www.google.com/maps/place/Selterstor+Garten+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc59b8af843c0d:0x96daf602d6549037!8m2!3d50.5824166!4d8.6700589!16s%2Fg%2F11ygfw4qhd!19sChIJDTyEr7hZvEcRN5BU1gL22pY?authuser=0&hl=de&rclk=1,2026-05-05T19:08:26Z,,error,context canceled; overview error: context canceled
